[67.59, 35.76]
[67.57, 35.76]
[67.57, 35.36]
[67.52, 35.56]
[67.52, 35.56]
[67.49, 35.56]
[67.48, 35.76]
[67.45, 35.76]
[67.43, 35.76]
[67.4, 35.76]
[67.38, 35.76]
[67.37, 35.76]
[67.36, 35.76]
[67.33, 35.97]
[67.29, 35.76]
[67.29, 35.76]
[67.25, 35.97]
[67.23, 35.76]
[67.23, 35.97]
[67.19, 35.76]
[67.16, 35.76]
[67.17, 35.76]
[67.15, 35.76]
[67.13, 35.97]
[67.08, 35.97]
[67.08, 35.76]
[67.07, 35.97]
[67.04, 35.97]
[67.01, 35.97]
[66.99, 35.97]
[66.99, 35.76]
[66.98, 35.97]
[66.94, 35.97]
[66.93, 35.97]
[66.91, 35.97]
[66.88, 36.17]
[66.88, 36.17]
[66.86, 36.17]
[66.85, 36.17]
[66.83, 36.38]
[66.78, 36.17]
[66.77, 36.38]
[66.77, 35.97]
[66.76, 36.17]
[66.73, 35.97]
[66.71, 36.17]
[66.68, 36.38]
[66.69, 36.38]
[66.66, 36.38]
[66.66, 36.38]
[66.63, 36.17]
[66.59, 36.38]
[66.59, 36.38]
[66.57, 36.38]
[66.57, 36.58]
[66.53, 36.38]
[66.51, 36.38]
[66.49, 36.58]
[66.47, 36.38]
[66.45, 36.58]
[66.44, 36.38]
[66.42, 36.38]
[66.37, 36.38]
[66.39, 36.58]
[66.35, 36.58]
[66.34, 36.58]
[66.31, 36.38]
[66.29, 36.79]
[66.29, 36.58]
[66.27, 36.79]
[66.26, 36.38]
[66.24, 36.99]
[66.21, 36.79]
[66.21, 36.58]
[66.17, 36.79]
[66.16, 36.79]
[66.14, 36.58]
[66.14, 36.79]
[66.12, 36.79]
[66.11, 36.79]
[66.09, 36.58]
[66.07, 36.79]
[66.05, 36.79]
[66.04, 36.79]
[66.03, 36.79]
[66.01, 36.79]
[65.99, 36.79]
[65.96, 36.99]
[65.96, 36.79]
[65.94, 36.99]
[65.91, 36.79]
[65.89, 36.99]
[65.87, 36.99]
[65.85, 36.79]
[65.84, 36.99]
[65.83, 36.99]
[65.81, 36.79]
[65.78, 36.99]
[65.76, 36.99]
[65.74, 36.99]
[65.74, 36.79]
[65.71, 37.2]
[65.7, 36.99]
[65.7, 36.99]
[65.67, 36.99]
[65.66, 36.99]
[65.63, 37.2]
[65.62, 37.2]
[65.58, 37.2]
[65.59, 37.41]
[65.55, 36.99]
[65.54, 37.2]
[65.53, 37.2]
[65.5, 37.2]
[65.51, 37.2]
[65.46, 37.2]
[65.47, 37.2]
[65.45, 37.2]
[65.42, 37.41]
[65.42, 37.41]
[65.4, 37.41]
[65.37, 37.41]
[65.36, 37.2]
[65.33, 37.41]
[65.3, 37.41]
[65.31, 37.62]
[65.26, 37.41]
[65.27, 37.62]
[65.23, 37.41]
[65.22, 37.41]
[65.18, 37.62]
[65.17, 37.41]
[65.15, 37.62]
[65.12, 37.83]
[65.11, 37.83]
[65.09, 37.62]
[65.07, 37.62]
[65.04, 37.62]
[65.01, 37.62]
[65.01, 37.41]
[64.99, 37.83]
[64.98, 37.62]
[64.95, 37.83]
[64.94, 37.83]
[64.92, 37.83]
[64.91, 37.62]
[64.86, 37.62]
[64.87, 37.83]
[64.84, 37.83]
[64.83, 38.04]
[64.84, 37.62]
[64.82, 37.62]
[64.79, 37.83]
[64.78, 37.83]
[64.77, 37.83]
[64.73, 37.83]
[64.72, 38.04]
[64.72, 38.04]
[64.7, 37.83]
[64.66, 38.04]
[64.66, 37.83]
[64.66, 37.83]
[64.65, 38.04]
[64.62, 38.04]
[64.61, 38.04]
[64.58, 38.04]
[64.57, 38.04]
[64.54, 38.25]
[64.54, 38.04]
[64.54, 38.25]
[64.5, 38.04]
[64.48, 38.25]
[64.49, 38.04]
[64.46, 38.25]
[64.43, 38.25]
[64.43, 38.25]
[64.41, 38.25]
[64.4, 38.25]
[64.38, 38.25]
[64.38, 38.67]
[64.34, 38.25]
[64.33, 38.25]
[64.33, 38.25]
[64.29, 38.46]
[64.29, 38.25]
[64.27, 38.25]
[64.27, 38.46]
[64.24, 38.25]
[64.23, 38.46]
[64.22, 38.46]
[64.2, 38.67]
[64.19, 38.46]
[64.17, 38.46]
[64.17, 38.46]
[64.14, 38.46]
[64.14, 38.46]
[64.12, 38.67]
[64.09, 38.46]
[64.09, 38.67]
[64.07, 38.46]
[64.06, 38.67]
[64.04, 38.67]
[64.03, 38.88]
[64.02, 38.46]
[63.99, 38.67]
[63.97, 38.67]
[63.96, 38.67]
[63.96, 38.67]
[63.93, 38.88]
[63.92, 38.67]
[63.91, 38.88]
[63.9, 38.88]
[63.87, 38.88]
[63.85, 38.88]
[63.83, 38.88]
[63.82, 38.88]
[63.82, 38.67]
[63.79, 38.67]
[63.78, 39.09]
[63.77, 39.09]
[63.76, 38.88]
[63.74, 38.88]
[63.74, 38.88]
[63.69, 38.88]
[63.69, 38.88]
[63.64, 39.09]
[63.65, 38.88]
[63.61, 38.88]
[63.61, 39.09]
[63.58, 39.3]
[63.58, 38.88]
[63.54, 39.09]
[63.56, 39.09]
[63.52, 39.3]
[63.51, 39.09]
[63.5, 39.3]
[63.48, 39.09]
[63.46, 39.3]
[63.46, 39.09]
[63.44, 39.09]
[63.43, 39.3]
[63.43, 39.09]
[63.4, 39.3]
[63.37, 39.09]
[63.36, 39.09]
[63.35, 39.3]
[63.34, 39.09]
[63.34, 39.3]
[63.29, 39.3]
[63.3, 39.3]
[63.25, 39.09]
[63.25, 39.51]
[63.23, 39.3]
[63.23, 39.51]
[63.2, 39.3]
[63.18, 39.3]
[63.17, 39.3]
[63.18, 39.51]
[63.16, 39.51]
[63.14, 39.3]
[63.09, 39.3]
[63.1, 39.73]
[63.07, 39.51]
[63.07, 39.51]
[63.05, 39.51]
[63.04, 39.73]
[63.04, 39.51]
[63.02, 39.73]
[63.0, 39.73]
[62.97, 39.51]
[62.97, 39.73]
[62.96, 39.51]
[62.95, 39.51]
[62.92, 39.73]
[62.92, 39.73]
[62.91, 39.73]
[62.89, 39.73]
[62.86, 39.73]
[62.87, 39.73]
[62.86, 39.94]
[62.85, 39.94]
[62.82, 39.73]
[62.81, 39.73]
[62.79, 39.94]
[62.79, 39.94]
[62.77, 39.73]
[62.76, 39.94]
[62.74, 39.73]
[62.73, 39.94]
[62.73, 39.94]
[62.71, 39.94]
[62.67, 39.94]
[62.69, 39.94]
[62.67, 40.16]
[62.64, 39.94]
[62.64, 39.94]
[62.61, 39.94]
[62.62, 40.16]
[62.59, 40.16]
[62.58, 40.16]
[62.57, 40.16]
[62.57, 40.16]
[62.55, 39.94]
[62.51, 40.16]
[62.52, 40.59]
[62.54, 40.37]
[62.49, 40.37]
[62.48, 40.37]
[62.49, 40.16]
[62.46, 40.37]
[62.44, 40.16]
[62.44, 40.37]
[62.43, 40.37]
[62.41, 40.37]
[62.4, 40.37]
[62.4, 40.59]
[62.37, 40.59]
[62.35, 40.59]
[62.35, 40.37]
[62.33, 40.59]
[62.33, 40.37]
[62.31, 40.37]
[62.29, 40.37]
[62.29, 40.59]
[62.26, 40.8]
[62.26, 40.8]
[62.25, 40.59]
[62.23, 40.59]
[62.2, 40.59]
[62.19, 40.59]
[62.19, 40.8]
[62.18, 40.59]
[62.17, 40.59]
[62.15, 40.8]
[62.15, 40.8]
[62.13, 40.59]
[62.11, 40.8]
[62.11, 40.8]
[62.1, 40.59]
[62.08, 40.8]
[62.05, 40.8]
[62.05, 40.59]
[62.04, 40.8]
[62.01, 40.8]
